Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jobe Bellingham,eng ENG,MF,19-023,9,9,810.0,9.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,1.0,1.7,11.0,27.0,23.0,0.11,0.11,0.22,0.11,0.22,0.07,0.11,0.18,0.07,0.18,Matches
Dennis Cirkin,eng ENG,DF,22-193,9,9,810.0,9.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,1.4,2.1,22.0,28.0,29.0,0.11,0.11,0.22,0.11,0.22,0.08,0.16,0.24,0.08,0.24,Matches
Trai Hume,nir NIR,DF,22-212,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.8,0.9,13.0,45.0,25.0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.1,0.01,0.1,Matches
Luke O'Nien,eng ENG,DF,29-330,9,9,810.0,9.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.2,1.2,0.2,1.5,8.0,39.0,2.0,0.22,0.11,0.33,0.22,0.33,0.14,0.02,0.16,0.14,0.16,Matches
Anthony Patterson,eng ENG,GK,24-159,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Patrick Roberts,eng ENG,FW,27-254,9,9,721.0,8.0,1.0,3.0,4.0,0.0,1.0,1.0,2.0,0.0,1.6,0.8,2.0,2.8,34.0,46.0,52.0,0.12,0.37,0.5,0.0,0.37,0.2,0.24,0.45,0.11,0.35,Matches
Daniel Neil,eng ENG,MF,23-081,8,8,714.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.2,0.4,6.0,38.0,6.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches
Chris Rigg,eng ENG,MF,17-120,9,8,645.0,7.2,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,2.2,2.2,0.2,2.4,12.0,24.0,40.0,0.28,0.0,0.28,0.28,0.28,0.31,0.03,0.34,0.31,0.34,Matches
Romaine Mundle,eng ENG,"FW,MF",21-175,9,7,611.0,6.8,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.1,1.1,0.5,1.7,47.0,26.0,64.0,0.44,0.0,0.44,0.44,0.44,0.17,0.08,0.24,0.17,0.24,Matches
Eliezer Mayenda,es ESP,FW,19-161,6,6,481.0,5.3,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.9,2.9,1.2,4.1,8.0,3.0,21.0,0.37,0.37,0.75,0.37,0.75,0.55,0.22,0.77,0.55,0.77,Matches
Chris Mepham,wls WAL,DF,26-346,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,6.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches
